root_id,shard_id,classification,manifest_allowed
09_meta_identity,07,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,08,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,09,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,10,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,11,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,12,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,13,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,14,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,15,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,16,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,01,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,02,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,03,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,04,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,05,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,06,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,07,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,08,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,09,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,10,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,11,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,12,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,13,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,14,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,15,BLOCKED_NO_IMPLEMENTATION,false
10_interoperability,16,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,01,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,02,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,03,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,04,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,05,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,06,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,07,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,08,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,09,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,10,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,11,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,12,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,13,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,14,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,15,BLOCKED_NO_IMPLEMENTATION,false
11_test_simulation,16,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,01,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,02,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,03,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,04,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,05,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,06,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,07,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,08,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,09,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,10,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,11,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,12,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,13,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,14,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,15,BLOCKED_NO_IMPLEMENTATION,false
12_tooling,16,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,01,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,02,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,03,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,04,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,05,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,06,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,07,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,08,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,09,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,10,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,11,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,12,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,13,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,14,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,15,BLOCKED_NO_IMPLEMENTATION,false
13_ui_layer,16,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,01,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,02,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,03,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,04,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,05,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,06,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,07,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,08,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,09,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,10,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,11,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,12,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,13,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,14,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,15,BLOCKED_NO_IMPLEMENTATION,false
14_zero_time_auth,16,BLOCKED_NO_IMPLEMENTATION,false
15_infra,01,BLOCKED_NO_IMPLEMENTATION,false
15_infra,02,BLOCKED_NO_IMPLEMENTATION,false
15_infra,03,BLOCKED_NO_IMPLEMENTATION,false
15_infra,04,BLOCKED_NO_IMPLEMENTATION,false
15_infra,05,BLOCKED_NO_IMPLEMENTATION,false
15_infra,06,BLOCKED_NO_IMPLEMENTATION,false
15_infra,07,BLOCKED_NO_IMPLEMENTATION,false
15_infra,08,BLOCKED_NO_IMPLEMENTATION,false
15_infra,09,BLOCKED_NO_IMPLEMENTATION,false
15_infra,10,BLOCKED_NO_IMPLEMENTATION,false
15_infra,11,BLOCKED_NO_IMPLEMENTATION,false
15_infra,12,BLOCKED_NO_IMPLEMENTATION,false
15_infra,13,BLOCKED_NO_IMPLEMENTATION,false
15_infra,14,BLOCKED_NO_IMPLEMENTATION,false
15_infra,15,BLOCKED_NO_IMPLEMENTATION,false
15_infra,16,BLOCKED_NO_IMPLEMENTATION,false
16_codex,01,BLOCKED_NO_IMPLEMENTATION,false
16_codex,02,BLOCKED_NO_IMPLEMENTATION,false
16_codex,03,BLOCKED_NO_IMPLEMENTATION,false
16_codex,04,BLOCKED_NO_IMPLEMENTATION,false
16_codex,05,BLOCKED_NO_IMPLEMENTATION,false
16_codex,06,BLOCKED_NO_IMPLEMENTATION,false
16_codex,07,BLOCKED_NO_IMPLEMENTATION,false
16_codex,08,BLOCKED_NO_IMPLEMENTATION,false
16_codex,09,BLOCKED_NO_IMPLEMENTATION,false
16_codex,10,BLOCKED_NO_IMPLEMENTATION,false
16_codex,11,BLOCKED_NO_IMPLEMENTATION,false
16_codex,12,BLOCKED_NO_IMPLEMENTATION,false
16_codex,13,BLOCKED_NO_IMPLEMENTATION,false
16_codex,14,BLOCKED_NO_IMPLEMENTATION,false
16_codex,15,BLOCKED_NO_IMPLEMENTATION,false
16_codex,16,BLOCKED_NO_IMPLEMENTATION,false
17_observability,01,BLOCKED_NO_IMPLEMENTATION,false
17_observability,02,BLOCKED_NO_IMPLEMENTATION,false
17_observability,03,BLOCKED_NO_IMPLEMENTATION,false
17_observability,04,BLOCKED_NO_IMPLEMENTATION,false
17_observability,05,BLOCKED_NO_IMPLEMENTATION,false
17_observability,06,BLOCKED_NO_IMPLEMENTATION,false
17_observability,07,BLOCKED_NO_IMPLEMENTATION,false
17_observability,08,BLOCKED_NO_IMPLEMENTATION,false
17_observability,09,BLOCKED_NO_IMPLEMENTATION,false
17_observability,10,BLOCKED_NO_IMPLEMENTATION,false
17_observability,11,BLOCKED_NO_IMPLEMENTATION,false
17_observability,12,BLOCKED_NO_IMPLEMENTATION,false
17_observability,13,BLOCKED_NO_IMPLEMENTATION,false
17_observability,14,BLOCKED_NO_IMPLEMENTATION,false
17_observability,15,BLOCKED_NO_IMPLEMENTATION,false
17_observability,16,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,01,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,02,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,03,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,04,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,05,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,06,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,07,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,08,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,09,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,10,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,11,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,12,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,13,BLOCKED_NO_IMPLEMENTATION,false
18_data_layer,14,BLOCKED_NO_IMPLEMENTATION,false
